candidate_id,rank,score,reasoning
CAND_0061265,37,0.9038,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.6 Years Experience"
CAND_0005649,38,0.9028,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.4 Years Experience"
CAND_0065195,39,0.9010,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.1 Years Experience"
CAND_0066999,40,0.8988,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.9 Years Experience"
CAND_0069905,41,0.8965,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.6 Years Experience"
CAND_0075574,42,0.8959,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.7 Years Experience"
CAND_0054100,43,0.8954,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.0 Years Experience"
CAND_0043860,44,0.8951,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.1 Years Experience"
CAND_0042029,45,0.8945,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.5 Years Experience"
CAND_0018549,46,0.8942,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.8 Years Experience"
CAND_0028793,47,0.8942,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.2 Years Experience"
CAND_0070398,48,0.8927,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.2 Years Experience"
CAND_0001131,49,0.8926,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.8 Years Experience"
CAND_0020708,50,0.8920,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.2 Years Experience"
CAND_0008239,51,0.8904,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.0 Years Experience"
CAND_0043637,52,0.8897,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.5 Years Experience"
CAND_0074225,53,0.8896,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.3 Years Experience"
CAND_0073314,54,0.8887,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.2 Years Experience"
CAND_0066690,55,0.8877,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.8 Years Experience"
CAND_0052195,56,0.8876,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.3 Years Experience"
CAND_0058688,57,0.8870,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.7 Years Experience"
CAND_0096142,58,0.8868,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.0 Years Experience"
CAND_0027691,59,0.8862,"Relevant AI/ML Role, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.5 Years Experience"
CAND_0062247,60,0.8861,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.3 Years Experience"
CAND_0081480,61,0.8834,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, 5.6 Years Experience"
CAND_0081852,62,0.8832,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.9 Years Experience"
CAND_0036121,63,0.8828,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.2 Years Experience"
CAND_0045250,64,0.8821,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.6 Years Experience"
CAND_0036437,65,0.8819,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.8 Years Experience"
CAND_0068932,66,0.8801,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, 5.2 Years Experience"
CAND_0043676,67,0.8790,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.1 Years Experience"
CAND_0030784,68,0.8786,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.4 Years Experience"
CAND_0032270,69,0.8776,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.4 Years Experience"
CAND_0005260,70,0.8758,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.2 Years Experience"
CAND_0084819,71,0.8757,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.5 Years Experience"
CAND_0027801,72,0.8756,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.4 Years Experience"
CAND_0082086,73,0.8743,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.0 Years Experience"
CAND_0095528,74,0.8739,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.3 Years Experience"
CAND_0007567,75,0.8731,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.1 Years Experience"
CAND_0074731,76,0.8729,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, 6.6 Years Experience"
CAND_0010149,77,0.8724,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.9 Years Experience"
CAND_0047721,78,0.8721,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.0 Years Experience"
CAND_0044855,79,0.8720,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.6 Years Experience"
CAND_0087364,80,0.8715,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.9 Years Experience"
CAND_0041610,81,0.8714,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.7 Years Experience"
CAND_0075439,82,0.8706,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.3 Years Experience"
CAND_0042506,83,0.8704,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.2 Years Experience"
CAND_0093799,84,0.8704,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 3.1 Years Experience"
CAND_0037944,85,0.8696,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.9 Years Experience"
CAND_0063862,86,0.8691,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.3 Years Experience"
CAND_0007460,87,0.8670,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.7 Years Experience"
CAND_0050454,88,0.8666,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.8 Years Experience"
CAND_0007596,89,0.8663,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.4 Years Experience"
CAND_0007412,90,0.8659,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.4 Years Experience"
CAND_0054123,91,0.8653,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.7 Years Experience"
CAND_0028287,92,0.8640,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.7 Years Experience"
CAND_0043312,93,0.8634,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.2 Years Experience"
CAND_0065786,94,0.8625,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.9 Years Experience"
CAND_0091899,95,0.8620,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.8 Years Experience"
CAND_0068513,96,0.8614,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.0 Years Experience"
CAND_0051615,97,0.8612,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.6 Years Experience"
CAND_0063736,98,0.8587,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 3.7 Years Experience"
CAND_0073504,99,0.8586,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.6 Years Experience"
CAND_0018094,100,0.8578,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.2 Years Experience"
